#n	np	kRmin	kRmax	modeSep
0   0   500      1000      4.
1   1   250      1000      4.
2   2   250      1000      3.
3   3   200      850      2.5
4   4   175      650      2.5
5   5   150      500      2.5
6   6   150      400      3
7   7   100      350      3
8   8   50       350      3.
9   9   50       275      3.
1   2   250      750      3
2   3   300      900      2.5
3   4   300      650      2.5
4   5   200      500      2.5
5   6   200      400      2.5
6   7   150      350      2.5
7   8   100      300      2.5
8   9   100      275      2.5
2   4   250      450      11
3   5   250      450      9
4   6   150      400      9
5   7   50      350      9
6   8   50      350      9
7   9   50      275      9
